"Characters","Vehicle","Tires","Glider","ID","Speed","Speed_Water","Speed_Air","Speed_Ground","Acceleration","Weight","Handling","Handling_Water","Handling_Air","Handling_Ground","Traction","Mini_Turbo"
"Heavy-A","Biddybuggy","Group-E","Speed","Heavy-A-Biddybuggy-Group-E-Speed",3.5,4.0,3.75,3.5,3.0,3.75,4.75,3.25,3.25,3.25,4.0,2.5
"Heavy-B","Biddybuggy","Group-E","Acceleration","Heavy-B-Biddybuggy-Group-E-Acceleration",3.5,4.0,3.5,3.5,3.0,4.0,5.25,3.25,3.5,3.25,3.75,2.25
"Heavy-B","Biddybuggy","Group-E","Speed","Heavy-B-Biddybuggy-Group-E-Speed",3.5,4.0,3.75,3.5,2.75,4.25,5.25,3.25,3.25,3.25,3.75,2.0
"Heavy-C","Biddybuggy","Group-E","Acceleration","Heavy-C-Biddybuggy-Group-E-Acceleration",4.0,4.5,4.0,4.0,3.0,4.0,5.25,2.75,3.0,2.75,3.75,2.25
"Heavy-C","Biddybuggy","Group-E","Speed","Heavy-C-Biddybuggy-Group-E-Speed",4.0,4.5,4.25,4.0,2.75,4.25,5.25,2.75,2.75,2.75,3.75,2.0
"Light-A","Landship","Group-F","Acceleration","Light-A-Landship-Group-F-Acceleration",1.5499999999999998,1.25,2.0,1.5,4.25,1.25,4.0,3.75,4.5,4.0,5.75,4.5
"Light-A","Landship","Group-F","Speed","Light-A-Landship-Group-F-Speed",1.5499999999999998,1.25,2.25,1.5,4.0,1.5,4.0,3.75,4.25,4.0,5.75,4.25
"Light-B","Landship","Group-F","Acceleration","Light-B-Landship-Group-F-Acceleration",2.05,1.75,2.5,2.0,4.0,1.75,3.5,3.25,4.0,3.5,5.5,4.25
"Light-B","Landship","Group-F","Speed","Light-B-Landship-Group-F-Speed",2.05,1.75,2.75,2.0,3.75,2.0,3.5,3.25,3.75,3.5,5.5,4.0
"Medium-A","Landship","Group-F","Acceleration","Medium-A-Landship-Group-F-Acceleration",2.55,2.25,3.0,2.5,3.75,2.25,3.0,2.75,3.5,3.0,5.25,4.0
"Medium-A","Landship","Group-F","Speed","Medium-A-Landship-Group-F-Speed",2.55,2.25,3.25,2.5,3.5,2.5,3.0,2.75,3.25,3.0,5.25,3.75
"Medium-B","Landship","Group-F","Acceleration","Medium-B-Landship-Group-F-Acceleration",3.05,2.77,3.53,3.03,3.5,2.75,2.5,2.25,3.0,2.5,5.0,4.0
"Medium-B","Landship","Group-F","Speed","Medium-B-Landship-Group-F-Speed",3.05,2.77,3.78,3.03,3.25,3.0,2.5,2.25,2.75,2.5,5.0,3.75
"Heavy-A","Landship","Group-F","Acceleration","Heavy-A-Landship-Group-F-Acceleration",3.55,3.25,4.0,3.5,3.25,3.25,3.5,1.75,2.5,2.0,4.75,3.75
"Heavy-A","Landship","Group-F","Speed","Heavy-A-Landship-Group-F-Speed",3.55,3.25,4.25,3.5,3.0,3.5,3.5,1.75,2.25,2.0,4.75,3.5
"Heavy-B","Landship","Group-F","Acceleration","Heavy-B-Landship-Group-F-Acceleration",3.55,3.25,4.0,3.5,3.0,3.75,4.0,1.75,2.5,2.0,4.5,3.25
"Heavy-B","Landship","Group-F","Speed","Heavy-B-Landship-Group-F-Speed",3.55,3.25,4.25,3.5,2.75,4.0,4.0,1.75,2.25,2.0,4.5,3.0
"Heavy-C","Landship","Group-F","Acceleration","Heavy-C-Landship-Group-F-Acceleration",4.05,3.75,4.5,4.0,3.0,3.75,4.0,1.25,2.0,1.5,4.5,3.25
"Heavy-C","Landship","Group-F","Speed","Heavy-C-Landship-Group-F-Speed",4.05,3.75,4.75,4.0,2.75,4.0,4.0,1.25,1.75,1.5,4.5,3.0
"Light-A","Landship","Group-C","Acceleration","Light-A-Landship-Group-C-Acceleration",2.0,2.0,2.0,2.0,4.25,1.0,4.25,4.25,4.5,4.25,4.75,3.75
"Light-A","Landship","Group-C","Speed","Light-A-Landship-Group-C-Speed",2.0,2.0,2.25,2.0,4.0,1.25,4.25,4.25,4.25,4.25,4.75,3.5
"Light-B","Landship","Group-C","Acceleration","Light-B-Landship-Group-C-Acceleration",2.5,2.5,2.5,2.5,4.0,1.5,3.75,3.75,4.0,3.75,4.5,3.5
"Light-B","Landship","Group-C","Speed","Light-B-Landship-Group-C-Speed",2.5,2.5,2.75,2.5,3.75,1.75,3.75,3.75,3.75,3.75,4.5,3.25
"Medium-A","Landship","Group-C","Acceleration","Medium-A-Landship-Group-C-Acceleration",3.0,3.0,3.0,3.0,3.75,2.0,3.25,3.25,3.5,3.25,4.25,3.25
"Medium-A","Landship","Group-C","Speed","Medium-A-Landship-Group-C-Speed",3.0,3.0,3.25,3.0,3.5,2.25,3.25,3.25,3.25,3.25,4.25,3.0
"Medium-B","Landship","Group-C","Acceleration","Medium-B-Landship-Group-C-Acceleration",3.5,3.5199999999999996,3.53,3.53,3.5,2.5,2.75,2.75,3.0,2.75,4.0,3.25
"Medium-B","Landship","Group-C","Speed","Medium-B-Landship-Group-C-Speed",3.5,3.5199999999999996,3.78,3.53,3.25,2.75,2.75,2.75,2.75,2.75,4.0,3.0
"Heavy-A","Landship","Group-C","Acceleration","Heavy-A-Landship-Group-C-Acceleration",4.0,4.0,4.0,4.0,3.25,3.0,3.75,2.25,2.5,2.25,3.75,3.0
"Heavy-A","Landship","Group-C","Speed","Heavy-A-Landship-Group-C-Speed",4.0,4.0,4.25,4.0,3.0,3.25,3.75,2.25,2.25,2.25,3.75,2.75
"Heavy-B","Landship","Group-C","Acceleration","Heavy-B-Landship-Group-C-Acceleration",4.0,4.0,4.0,4.0,3.0,3.5,4.25,2.25,2.5,2.25,3.5,2.5
"Heavy-B","Landship","Group-C","Speed","Heavy-B-Landship-Group-C-Speed",4.0,4.0,4.25,4.0,2.75,3.75,4.25,2.25,2.25,2.25,3.5,2.25
"Heavy-C","Landship","Group-C","Acceleration","Heavy-C-Landship-Group-C-Acceleration",4.5,4.5,4.5,4.5,3.0,3.5,4.25,1.75,2.0,1.75,3.5,2.5
"Heavy-C","Landship","Group-C","Speed","Heavy-C-Landship-Group-C-Speed",4.5,4.5,4.75,4.5,2.75,3.75,4.25,1.75,1.75,1.75,3.5,2.25
"Light-A","Landship","Group-B","Acceleration","Light-A-Landship-Group-B-Acceleration",2.0,2.0,2.0,2.0,4.25,1.5,4.5,4.5,4.75,4.5,4.75,3.75
"Light-A","Landship","Group-B","Speed","Light-A-Landship-Group-B-Speed",2.0,2.0,2.25,2.0,4.0,1.75,4.5,4.5,4.5,4.5,4.75,3.5
"Light-B","Landship","Group-B","Acceleration","Light-B-Landship-Group-B-Acceleration",2.5,2.5,2.5,2.5,4.0,2.0,4.0,4.0,4.25,4.0,4.5,3.5
"Light-B","Landship","Group-B","Speed","Light-B-Landship-Group-B-Speed",2.5,2.5,2.75,2.5,3.75,2.25,4.0,4.0,4.0,4.0,4.5,3.25
"Medium-A","Landship","Group-B","Acceleration","Medium-A-Landship-Group-B-Acceleration",3.0,3.0,3.0,3.0,3.75,2.5,3.5,3.5,3.75,3.5,4.25,3.25
"Medium-A","Landship","Group-B","Speed","Medium-A-Landship-Group-B-Speed",3.0,3.0,3.25,3.0,3.5,2.75,3.5,3.5,3.5,3.5,4.25,3.0
"Medium-B","Landship","Group-B","Acceleration","Medium-B-Landship-Group-B-Acceleration",3.5,3.5199999999999996,3.53,3.53,3.5,3.0,3.0,3.0,3.25,3.0,4.0,3.25
"Medium-B","Landship","Group-B","Speed","Medium-B-Landship-Group-B-Speed",3.5,3.5199999999999996,3.78,3.53,3.25,3.25,3.0,3.0,3.0,3.0,4.0,3.0
"Heavy-A","Landship","Group-B","Acceleration","Heavy-A-Landship-Group-B-Acceleration",4.0,4.0,4.0,4.0,3.25,3.5,4.0,2.5,2.75,2.5,3.75,3.0
"Heavy-A","Landship","Group-B","Speed","Heavy-A-Landship-Group-B-Speed",4.0,4.0,4.25,4.0,3.0,3.75,4.0,2.5,2.5,2.5,3.75,2.75
"Heavy-B","Landship","Group-B","Acceleration","Heavy-B-Landship-Group-B-Acceleration",4.0,4.0,4.0,4.0,3.0,4.0,4.5,2.5,2.75,2.5,3.5,2.5
"Heavy-B","Landship","Group-B","Speed","Heavy-B-Landship-Group-B-Speed",4.0,4.0,4.25,4.0,2.75,4.25,4.5,2.5,2.5,2.5,3.5,2.25
"Heavy-C","Landship","Group-B","Acceleration","Heavy-C-Landship-Group-B-Acceleration",4.5,4.5,4.5,4.5,3.0,4.0,4.5,2.0,2.25,2.0,3.5,2.5
"Heavy-C","Landship","Group-B","Speed","Heavy-C-Landship-Group-B-Speed",4.5,4.5,4.75,4.5,2.75,4.25,4.5,2.0,2.0,2.0,3.5,2.25
"Light-A","Landship","Group-D","Acceleration","Light-A-Landship-Group-D-Acceleration",1.25,2.25,2.25,1.25,5.0,1.0,4.5,4.5,4.75,4.5,5.0,5.25
"Light-A","Landship","Group-D","Speed","Light-A-Landship-Group-D-Speed",1.25,2.25,2.5,1.25,4.75,1.25,4.5,4.5,4.5,4.5,5.0,5.0
"Light-B","Landship","Group-D","Acceleration","Light-B-Landship-Group-D-Acceleration",1.75,2.75,2.75,1.75,4.75,1.5,4.0,4.0,4.25,4.0,4.75,5.0
"Light-B","Landship","Group-D","Speed","Light-B-Landship-Group-D-Speed",1.75,2.75,3.0,1.75,4.5,1.75,4.0,4.0,4.0,4.0,4.75,4.75
"Medium-A","Landship","Group-D","Acceleration","Medium-A-Landship-Group-D-Acceleration",2.25,3.25,3.25,2.25,4.5,2.0,3.5,3.5,3.75,3.5,4.5,4.75
"Medium-A","Landship","Group-D","Speed","Medium-A-Landship-Group-D-Speed",2.25,3.25,3.5,2.25,4.25,2.25,3.5,3.5,3.5,3.5,4.5,4.5
"Medium-B","Landship","Group-D","Acceleration","Medium-B-Landship-Group-D-Acceleration",2.75,3.7699999999999996,3.78,2.78,4.25,2.5,3.0,3.0,3.25,3.0,4.25,4.75
"Medium-B","Landship","Group-D","Speed","Medium-B-Landship-Group-D-Speed",2.75,3.7699999999999996,4.03,2.78,4.0,2.75,3.0,3.0,3.0,3.0,4.25,4.5
"Heavy-A","Landship","Group-D","Acceleration","Heavy-A-Landship-Group-D-Acceleration",3.25,4.25,4.25,3.25,4.0,3.0,4.0,2.5,2.75,2.5,4.0,4.5
"Heavy-A","Landship","Group-D","Speed","Heavy-A-Landship-Group-D-Speed",3.25,4.25,4.5,3.25,3.75,3.25,4.0,2.5,2.5,2.5,4.0,4.25
"Heavy-B","Landship","Group-D","Acceleration","Heavy-B-Landship-Group-D-Acceleration",3.25,4.25,4.25,3.25,3.75,3.5,4.5,2.5,2.75,2.5,3.75,4.0
"Heavy-B","Landship","Group-D","Speed","Heavy-B-Landship-Group-D-Speed",3.25,4.25,4.5,3.25,3.5,3.75,4.5,2.5,2.5,2.5,3.75,3.75
"Heavy-C","Landship","Group-D","Acceleration","Heavy-C-Landship-Group-D-Acceleration",3.75,4.75,4.75,3.75,3.75,3.5,4.5,2.0,2.25,2.0,3.75,4.0
"Heavy-C","Landship","Group-D","Speed","Heavy-C-Landship-Group-D-Speed",3.75,4.75,5.0,3.75,3.5,3.75,4.5,2.0,2.0,2.0,3.75,3.75
"Light-A","Landship","Group-A","Acceleration","Light-A-Landship-Group-A-Acceleration",2.25,1.25,2.25,2.25,3.75,1.75,4.25,4.25,4.5,4.25,4.25,4.0
"Light-A","Landship","Group-A","Speed","Light-A-Landship-Group-A-Speed",2.25,1.25,2.5,2.25,3.5,2.0,4.25,4.25,4.25,4.25,4.25,3.75
"Light-B","Landship","Group-A","Acceleration","Light-B-Landship-Group-A-Acceleration",2.75,1.75,2.75,2.75,3.5,2.25,3.75,3.75,4.0,3.75,4.0,3.75
"Light-B","Landship","Group-A","Speed","Light-B-Landship-Group-A-Speed",2.75,1.75,3.0,2.75,3.25,2.5,3.75,3.75,3.75,3.75,4.0,3.5
"Medium-A","Landship","Group-A","Acceleration","Medium-A-Landship-Group-A-Acceleration",3.25,2.25,3.25,3.25,3.25,2.75,3.25,3.25,3.5,3.25,3.75,3.5
"Medium-A","Landship","Group-A","Speed","Medium-A-Landship-Group-A-Speed",3.25,2.25,3.5,3.25,3.0,3.0,3.25,3.25,3.25,3.25,3.75,3.25
"Medium-B","Landship","Group-A","Acceleration","Medium-B-Landship-Group-A-Acceleration",3.75,2.77,3.78,3.78,3.0,3.25,2.75,2.75,3.0,2.75,3.5,3.5
"Medium-B","Landship","Group-A","Speed","Medium-B-Landship-Group-A-Speed",3.75,2.77,4.03,3.78,2.75,3.5,2.75,2.75,2.75,2.75,3.5,3.25
"Heavy-A","Landship","Group-A","Acceleration","Heavy-A-Landship-Group-A-Acceleration",4.25,3.25,4.25,4.25,2.75,3.75,3.75,2.25,2.5,2.25,3.25,3.25
"Heavy-A","Landship","Group-A","Speed","Heavy-A-Landship-Group-A-Speed",4.25,3.25,4.5,4.25,2.5,4.0,3.75,2.25,2.25,2.25,3.25,3.0
"Heavy-B","Landship","Group-A","Acceleration","Heavy-B-Landship-Group-A-Acceleration",4.25,3.25,4.25,4.25,2.5,4.25,4.25,2.25,2.5,2.25,3.0,2.75
"Heavy-B","Landship","Group-A","Speed","Heavy-B-Landship-Group-A-Speed",4.25,3.25,4.5,4.25,2.25,4.5,4.25,2.25,2.25,2.25,3.0,2.5
"Heavy-C","Landship","Group-A","Acceleration","Heavy-C-Landship-Group-A-Acceleration",4.75,3.75,4.75,4.75,2.5,4.25,4.25,1.75,2.0,1.75,3.0,2.75
"Heavy-C","Landship","Group-A","Speed","Heavy-C-Landship-Group-A-Speed",4.75,3.75,5.0,4.75,2.25,4.5,4.25,1.75,1.75,1.75,3.0,2.5
"Light-A","Landship","Group-G","Acceleration","Light-A-Landship-Group-G-Acceleration",1.75,1.75,1.75,1.25,4.0,1.0,3.5,3.5,3.75,3.5,6.0,3.75
"Light-A","Landship","Group-G","Speed","Light-A-Landship-Group-G-Speed",1.75,1.75,2.0,1.25,3.75,1.25,3.5,3.5,3.5,3.5,6.0,3.5
"Light-B","Landship","Group-G","Acceleration","Light-B-Landship-Group-G-Acceleration",2.25,2.25,2.25,1.75,3.75,1.5,3.0,3.0,3.25,3.0,5.75,3.5
"Light-B","Landship","Group-G","Speed","Light-B-Landship-Group-G-Speed",2.25,2.25,2.5,1.75,3.5,1.75,3.0,3.0,3.0,3.0,5.75,3.25
"Medium-A","Landship","Group-G","Acceleration","Medium-A-Landship-Group-G-Acceleration",2.75,2.75,2.75,2.25,3.5,2.0,2.5,2.5,2.75,2.5,5.5,3.25
"Medium-A","Landship","Group-G","Speed","Medium-A-Landship-Group-G-Speed",2.75,2.75,3.0,2.25,3.25,2.25,2.5,2.5,2.5,2.5,5.5,3.0
"Medium-B","Landship","Group-G","Acceleration","Medium-B-Landship-Group-G-Acceleration",3.25,3.27,3.28,2.78,3.25,2.5,2.0,2.0,2.25,2.0,5.25,3.25
"Medium-B","Landship","Group-G","Speed","Medium-B-Landship-Group-G-Speed",3.25,3.27,3.53,2.78,3.0,2.75,2.0,2.0,2.0,2.0,5.25,3.0
"Heavy-A","Landship","Group-G","Acceleration","Heavy-A-Landship-Group-G-Acceleration",3.75,3.75,3.75,3.25,3.0,3.0,3.0,1.5,1.75,1.5,5.0,3.0
"Heavy-A","Landship","Group-G","Speed","Heavy-A-Landship-Group-G-Speed",3.75,3.75,4.0,3.25,2.75,3.25,3.0,1.5,1.5,1.5,5.0,2.75
"Heavy-B","Landship","Group-G","Acceleration","Heavy-B-Landship-Group-G-Acceleration",3.75,3.75,3.75,3.25,2.75,3.5,3.5,1.5,1.75,1.5,4.75,2.5
"Heavy-B","Landship","Group-G","Speed","Heavy-B-Landship-Group-G-Speed",3.75,3.75,4.0,3.25,2.5,3.75,3.5,1.5,1.5,1.5,4.75,2.25
"Heavy-C","Landship","Group-G","Acceleration","Heavy-C-Landship-Group-G-Acceleration",4.25,4.25,4.25,3.75,2.75,3.5,3.5,1.0,1.25,1.0,4.75,2.5
"Heavy-C","Landship","Group-G","Speed","Heavy-C-Landship-Group-G-Speed",4.25,4.25,4.5,3.75,2.5,3.75,3.5,1.0,1.0,1.0,4.75,2.25
"Light-A","Landship","Group-E","Acceleration","Light-A-Landship-Group-E-Acceleration",1.75,2.25,1.75,1.75,4.0,1.5,4.25,4.25,4.5,4.25,5.25,3.75
"Light-A","Landship","Group-E","Speed","Light-A-Landship-Group-E-Speed",1.75,2.25,2.0,1.75,3.75,1.75,4.25,4.25,4.25,4.25,5.25,3.5
"Light-B","Landship","Group-E","Acceleration","Light-B-Landship-Group-E-Acceleration",2.25,2.75,2.25,2.25,3.75,2.0,3.75,3.75,4.0,3.75,5.0,3.5
"Light-B","Landship","Group-E","Speed","Light-B-Landship-Group-E-Speed",2.25,2.75,2.5,2.25,3.5,2.25,3.75,3.75,3.75,3.75,5.0,3.25
"Medium-A","Landship","Group-E","Acceleration","Medium-A-Landship-Group-E-Acceleration",2.75,3.25,2.75,2.75,3.5,2.5,3.25,3.25,3.5,3.25,4.75,3.25
"Medium-A","Landship","Group-E","Speed","Medium-A-Landship-Group-E-Speed",2.75,3.25,3.0,2.75,3.25,2.75,3.25,3.25,3.25,3.25,4.75,3.0
"Medium-B","Landship","Group-E","Acceleration","Medium-B-Landship-Group-E-Acceleration",3.25,3.7699999999999996,3.28,3.28,3.25,3.0,2.75,2.75,3.0,2.75,4.5,3.25
"Medium-B","Landship","Group-E","Speed","Medium-B-Landship-Group-E-Speed",3.25,3.7699999999999996,3.53,3.28,3.0,3.25,2.75,2.75,2.75,2.75,4.5,3.0
"Heavy-A","Landship","Group-E","Acceleration","Heavy-A-Landship-Group-E-Acceleration",3.75,4.25,3.75,3.75,3.0,3.5,3.75,2.25,2.5,2.25,4.25,3.0
"Heavy-A","Landship","Group-E","Speed","Heavy-A-Landship-Group-E-Speed",3.75,4.25,4.0,3.75,2.75,3.75,3.75,2.25,2.25,2.25,4.25,2.75
"Heavy-B","Landship","Group-E","Acceleration","Heavy-B-Landship-Group-E-Acceleration",3.75,4.25,3.75,3.75,2.75,4.0,4.25,2.25,2.5,2.25,4.0,2.5
"Heavy-B","Landship","Group-E","Speed","Heavy-B-Landship-Group-E-Speed",3.75,4.25,4.0,3.75,2.5,4.25,4.25,2.25,2.25,2.25,4.0,2.25
"Heavy-C","Landship","Group-E","Acceleration","Heavy-C-Landship-Group-E-Acceleration",4.25,4.75,4.25,4.25,2.75,4.0,4.25,1.75,2.0,1.75,4.0,2.5
"Heavy-C","Landship","Group-E","Speed","Heavy-C-Landship-Group-E-Speed",4.25,4.75,4.5,4.25,2.5,4.25,4.25,1.75,1.75,1.75,4.0,2.25
"Light-A","Sneeker","Group-F","Acceleration","Light-A-Sneeker-Group-F-Acceleration",2.3,2.0,2.75,2.25,3.25,1.75,4.5,4.25,5.0,4.5,4.25,3.75
"Light-A","Sneeker","Group-F","Speed","Light-A-Sneeker-Group-F-Speed",2.3,2.0,3.0,2.25,3.0,2.0,4.5,4.25,4.75,4.5,4.25,3.5
"Light-B","Sneeker","Group-F","Acceleration","Light-B-Sneeker-Group-F-Acceleration",2.8,2.5,3.25,2.75,3.0,2.25,4.0,3.75,4.5,4.0,4.0,3.5
"Light-B","Sneeker","Group-F","Speed","Light-B-Sneeker-Group-F-Speed",2.8,2.5,3.5,2.75,2.75,2.5,4.0,3.75,4.25,4.0,4.0,3.25
"Medium-A","Sneeker","Group-F","Acceleration","Medium-A-Sneeker-Group-F-Acceleration",3.3,3.0,3.75,3.25,2.75,2.75,3.5,3.25,4.0,3.5,3.75,3.25
"Medium-A","Sneeker","Group-F","Speed","Medium-A-Sneeker-Group-F-Speed",3.3,3.0,4.0,3.25,2.5,3.0,3.5,3.25,3.75,3.5,3.75,3.0
"Medium-B","Sneeker","Group-F","Acceleration","Medium-B-Sneeker-Group-F-Acceleration",3.8,3.52,4.28,3.78,2.5,3.25,3.0,2.75,3.5,3.0,3.5,3.25
"Medium-B","Sneeker","Group-F","Speed","Medium-B-Sneeker-Group-F-Speed",3.8,3.52,4.53,3.78,2.25,3.5,3.0,2.75,3.25,3.0,3.5,3.0
"Heavy-A","Sneeker","Group-F","Acceleration","Heavy-A-Sneeker-Group-F-Acceleration",4.3,4.0,4.75,4.25,2.25,3.75,4.0,2.25,3.0,2.5,3.25,3.0
"Heavy-A","Sneeker","Group-F","Speed","Heavy-A-Sneeker-Group-F-Speed",4.3,4.0,5.0,4.25,2.0,4.0,4.0,2.25,2.75,2.5,3.25,2.75
"Heavy-B","Sneeker","Group-F","Acceleration","Heavy-B-Sneeker-Group-F-Acceleration",4.3,4.0,4.75,4.25,2.0,4.25,4.5,2.25,3.0,2.5,3.0,2.5
"Heavy-B","Sneeker","Group-F","Speed","Heavy-B-Sneeker-Group-F-Speed",4.3,4.0,5.0,4.25,1.75,4.5,4.5,2.25,2.75,2.5,3.0,2.25
"Heavy-C","Sneeker","Group-F","Acceleration","Heavy-C-Sneeker-Group-F-Acceleration",4.8,4.5,5.25,4.75,2.0,4.25,4.5,1.75,2.5,2.0,3.0,2.5
"Heavy-C","Sneeker","Group-F","Speed","Heavy-C-Sneeker-Group-F-Speed",4.8,4.5,5.5,4.75,1.75,4.5,4.5,1.75,2.25,2.0,3.0,2.25
"Light-A","Sneeker","Group-C","Acceleration","Light-A-Sneeker-Group-C-Acceleration",2.75,2.75,2.75,2.75,3.25,1.5,4.75,4.75,5.0,4.75,3.25,3.0
"Light-A","Sneeker","Group-C","Speed","Light-A-Sneeker-Group-C-Speed",2.75,2.75,3.0,2.75,3.0,1.75,4.75,4.75,4.75,4.75,3.25,2.75
"Light-B","Sneeker","Group-C","Acceleration","Light-B-Sneeker-Group-C-Acceleration",3.25,3.25,3.25,3.25,3.0,2.0,4.25,4.25,4.5,4.25,3.0,2.75
"Light-B","Sneeker","Group-C","Speed","Light-B-Sneeker-Group-C-Speed",3.25,3.25,3.5,3.25,2.75,2.25,4.25,4.25,4.25,4.25,3.0,2.5
"Medium-A","Sneeker","Group-C","Acceleration","Medium-A-Sneeker-Group-C-Acceleration",3.75,3.75,3.75,3.75,2.75,2.5,3.75,3.75,4.0,3.75,2.75,2.5
"Medium-A","Sneeker","Group-C","Speed","Medium-A-Sneeker-Group-C-Speed",3.75,3.75,4.0,3.75,2.5,2.75,3.75,3.75,3.75,3.75,2.75,2.25
"Medium-B","Sneeker","Group-C","Acceleration","Medium-B-Sneeker-Group-C-Acceleration",4.25,4.27,4.28,4.28,2.5,3.0,3.25,3.25,3.5,3.25,2.5,2.5
"Medium-B","Sneeker","Group-C","Speed","Medium-B-Sneeker-Group-C-Speed",4.25,4.27,4.53,4.28,2.25,3.25,3.25,3.25,3.25,3.25,2.5,2.25
"Heavy-A","Sneeker","Group-C","Acceleration","Heavy-A-Sneeker-Group-C-Acceleration",4.75,4.75,4.75,4.75,2.25,3.5,4.25,2.75,3.0,2.75,2.25,2.25
"Heavy-A","Sneeker","Group-C","Speed","Heavy-A-Sneeker-Group-C-Speed",4.75,4.75,5.0,4.75,2.0,3.75,4.25,2.75,2.75,2.75,2.25,2.0
"Heavy-B","Sneeker","Group-C","Acceleration","Heavy-B-Sneeker-Group-C-Acceleration",4.75,4.75,4.75,4.75,2.0,4.0,4.75,2.75,3.0,2.75,2.0,1.75
"Heavy-B","Sneeker","Group-C","Speed","Heavy-B-Sneeker-Group-C-Speed",4.75,4.75,5.0,4.75,1.75,4.25,4.75,2.75,2.75,2.75,2.0,1.5
"Heavy-C","Sneeker","Group-C","Acceleration","Heavy-C-Sneeker-Group-C-Acceleration",5.25,5.25,5.25,5.25,2.0,4.0,4.75,2.25,2.5,2.25,2.0,1.75
"Heavy-C","Sneeker","Group-C","Speed","Heavy-C-Sneeker-Group-C-Speed",5.25,5.25,5.5,5.25,1.75,4.25,4.75,2.25,2.25,2.25,2.0,1.5
"Light-A","Sneeker","Group-B","Acceleration","Light-A-Sneeker-Group-B-Acceleration",2.75,2.75,2.75,2.75,3.25,2.0,5.0,5.0,5.25,5.0,3.25,3.0
"Light-A","Sneeker","Group-B","Speed","Light-A-Sneeker-Group-B-Speed",2.75,2.75,3.0,2.75,3.0,2.25,5.0,5.0,5.0,5.0,3.25,2.75
"Light-B","Sneeker","Group-B","Acceleration","Light-B-Sneeker-Group-B-Acceleration",3.25,3.25,3.25,3.25,3.0,2.5,4.5,4.5,4.75,4.5,3.0,2.75
"Light-B","Sneeker","Group-B","Speed","Light-B-Sneeker-Group-B-Speed",3.25,3.25,3.5,3.25,2.75,2.75,4.5,4.5,4.5,4.5,3.0,2.5
"Medium-A","Sneeker","Group-B","Acceleration","Medium-A-Sneeker-Group-B-Acceleration",3.75,3.75,3.75,3.75,2.75,3.0,4.0,4.0,4.25,4.0,2.75,2.5
"Medium-A","Sneeker","Group-B","Speed","Medium-A-Sneeker-Group-B-Speed",3.75,3.75,4.0,3.75,2.5,3.25,4.0,4.0,4.0,4.0,2.75,2.25
"Medium-B","Sneeker","Group-B","Acceleration","Medium-B-Sneeker-Group-B-Acceleration",4.25,4.27,4.28,4.28,2.5,3.5,3.5,3.5,3.75,3.5,2.5,2.5
"Medium-B","Sneeker","Group-B","Speed","Medium-B-Sneeker-Group-B-Speed",4.25,4.27,4.53,4.28,2.25,3.75,3.5,3.5,3.5,3.5,2.5,2.25
"Heavy-A","Sneeker","Group-B","Acceleration","Heavy-A-Sneeker-Group-B-Acceleration",4.75,4.75,4.75,4.75,2.25,4.0,4.5,3.0,3.25,3.0,2.25,2.25
"Heavy-A","Sneeker","Group-B","Speed","Heavy-A-Sneeker-Group-B-Speed",4.75,4.75,5.0,4.75,2.0,4.25,4.5,3.0,3.0,3.0,2.25,2.0
"Heavy-B","Sneeker","Group-B","Acceleration","Heavy-B-Sneeker-Group-B-Acceleration",4.75,4.75,4.75,4.75,2.0,4.5,5.0,3.0,3.25,3.0,2.0,1.75
"Heavy-B","Sneeker","Group-B","Speed","Heavy-B-Sneeker-Group-B-Speed",4.75,4.75,5.0,4.75,1.75,4.75,5.0,3.0,3.0,3.0,2.0,1.5
"Heavy-C","Sneeker","Group-B","Acceleration","Heavy-C-Sneeker-Group-B-Acceleration",5.25,5.25,5.25,5.25,2.0,4.5,5.0,2.5,2.75,2.5,2.0,1.75
"Heavy-C","Sneeker","Group-B","Speed","Heavy-C-Sneeker-Group-B-Speed",5.25,5.25,5.5,5.25,1.75,4.75,5.0,2.5,2.5,2.5,2.0,1.5
"Light-A","Sneeker","Group-D","Acceleration","Light-A-Sneeker-Group-D-Acceleration",2.0,3.0,3.0,2.0,4.0,1.5,5.0,5.0,5.25,5.0,3.5,4.5
"Light-A","Sneeker","Group-D","Speed","Light-A-Sneeker-Group-D-Speed",2.0,3.0,3.25,2.0,3.75,1.75,5.0,5.0,5.0,5.0,3.5,4.25
"Light-B","Sneeker","Group-D","Acceleration","Light-B-Sneeker-Group-D-Acceleration",2.5,3.5,3.5,2.5,3.75,2.0,4.5,4.5,4.75,4.5,3.25,4.25
"Light-B","Sneeker","Group-D","Speed","Light-B-Sneeker-Group-D-Speed",2.5,3.5,3.75,2.5,3.5,2.25,4.5,4.5,4.5,4.5,3.25,4.0
"Medium-A","Sneeker","Group-D","Acceleration","Medium-A-Sneeker-Group-D-Acceleration",3.0,4.0,4.0,3.0,3.5,2.5,4.0,4.0,4.25,4.0,3.0,4.0
"Medium-A","Sneeker","Group-D","Speed","Medium-A-Sneeker-Group-D-Speed",3.0,4.0,4.25,3.0,3.25,2.75,4.0,4.0,4.0,4.0,3.0,3.75
"Medium-B","Sneeker","Group-D","Acceleration","Medium-B-Sneeker-Group-D-Acceleration",3.5,4.52,4.53,3.53,3.25,3.0,3.5,3.5,3.75,3.5,2.75,4.0
